ts,id,Ax,Ay,Az,Gx,Gy,Gz
83.285,IMU0,-0.948427734375,12.367880859375001,1.1879296875,96.63865546218487,117.85714285714286,-168.4873949579832
83.295,IMU0,-1.4178515625,12.358300781250001,0.852626953125,97.19887955182074,118.34733893557423,-166.80672268907563
83.305,IMU0,-2.16509765625,12.703183593750001,0.5652246093750001,97.47899159663866,119.04761904761905,-164.2857142857143
83.315,IMU0,-2.7590625,12.751083984375,-0.2682421875,97.26890756302521,120.30812324929973,-160.92436974789916
83.325,IMU0,-3.3626074218750004,12.195439453125001,-0.9675878906250001,96.42857142857143,122.61904761904762,-157.07282913165267
83.335,IMU0,-4.521796875000001,12.042158203125,-0.737666015625,95.0280112044818,125.84033613445379,-152.59103641456582
83.345,IMU0,-4.857099609375,11.850556640625001,-1.4849121093750002,93.69747899159664,129.2717086834734,-148.73949579831933
83.355,IMU0,-5.0966015625,11.783496093750001,-1.5711328125000001,92.3669467787115,133.75350140056022,-144.39775910364148
83.365,IMU0,-5.604345703125,11.80265625,-1.5328125000000001,90.68627450980392,139.56582633053222,-139.9859943977591
83.375,IMU0,-6.274951171875,12.0708984375,-2.366279296875,89.07563025210085,146.5686274509804,-135.15406162464987
83.385,IMU0,-6.811435546875001,12.233759765625,-2.462080078125,86.62464985994399,154.9719887955182,-129.13165266106444
83.395,IMU0,-7.185058593750001,12.224179687500001,-2.8740234375,84.2436974789916,163.4453781512605,-122.96918767507003
83.405,IMU0,-7.434140625,12.387041015625,-2.998564453125,81.30252100840336,172.19887955182074,-115.82633053221289
83.415,IMU0,-7.865244140625,12.521162109375,-3.745810546875,78.15126050420169,180.74229691876752,-108.40336134453781
83.425,IMU0,-8.047265625,12.3008203125,-4.15775390625,74.01960784313725,189.00560224089637,-100.28011204481793
83.435,IMU0,-8.229287109375,12.080478515625002,-4.416416015625,69.6078431372549,196.35854341736695,-92.08683473389357
83.445,IMU0,-8.37298828125,12.080478515625002,-4.914580078125001,64.6358543417367,202.45098039215688,-83.96358543417368
83.455,IMU0,-8.593330078125,12.425361328125001,-5.154082031250001,59.38375350140056,207.0028011204482,-75.91036414565826
83.465,IMU0,-8.660390625,12.444521484375,-5.38400390625,53.92156862745098,209.45378151260505,-68.13725490196079
83.475,IMU0,-8.98611328125,12.7606640625,-5.939648437500001,48.319327731092436,209.31372549019608,-60.714285714285715
83.485,IMU0,-9.043593750000001,12.827724609375,-6.581513671875,42.296918767507,207.56302521008405,-53.43137254901961
83.495,IMU0,-8.957373046875,12.54990234375,-6.7060546875,35.85434173669468,205.0420168067227,-46.498599439775916
83.505,IMU0,-9.13939453125,12.1475390625,-6.332431640625001,29.20168067226891,202.24089635854344,-39.845938375350144
83.515,IMU0,-8.14306640625,11.093730468750001,-6.504873046875001,16.176470588235293,204.62184873949582,-28.571428571428573
83.525,IMU0,-7.6544824218750005,10.825488281250001,-6.2174707031250005,9.943977591036415,207.2829131652661,-24.159663865546218
83.535,IMU0,-7.405400390625,10.55724609375,-5.719306640625001,4.271708683473389,209.59383753501402,-20.168067226890756
83.545,IMU0,-7.0892578125000005,10.55724609375,-5.84384765625,-1.1204481792717087,211.1344537815126,-16.946778711484594
83.555,IMU0,-7.070097656250001,10.317744140625,-5.07744140625,-5.9523809523809526,212.04481792717087,-14.215686274509805
83.565,IMU0,-6.7060546875,10.164462890625,-4.7133984375,-10.294117647058824,213.65546218487395,-12.044817927170868
83.575,IMU0,-6.399492187500001,9.6183984375,-4.550537109375,-14.005602240896359,215.3361344537815,-10.364145658263306
83.585,IMU0,-6.054609375,9.321416015625001,-4.196074218750001,-16.946778711484594,217.0168067226891,-9.243697478991598
83.595,IMU0,-5.7384667968750005,8.382568359375,-3.2093261718750004,-19.047619047619047,219.46778711484595,-8.543417366946779
83.605,IMU0,-5.355263671875,7.5682617187500005,-2.6728417968750002,-20.098039215686274,221.77871148459386,-8.333333333333334
83.615,IMU0,-5.201982421875,7.185058593750001,-2.2608984375000003,-20.448179271708685,223.80952380952382,-8.403361344537815
83.625,IMU0,-5.03912109375,6.667734375,-1.4944921875000001,-20.308123249299722,225.8403361344538,-8.543417366946779
83.635,IMU0,-4.608017578125001,6.274951171875,-1.504072265625,-19.607843137254903,228.22128851540617,-8.893557422969188
83.645,IMU0,-4.588857421875001,5.939648437500001,-1.0921289062500001,-19.047619047619047,230.74229691876752,-9.313725490196079
83.655,IMU0,-4.44515625,5.776787109375,-1.676513671875,-18.627450980392158,233.82352941176472,-9.73389355742297
83.665,IMU0,-4.349355468750001,6.045029296875001,-1.78189453125,-18.207282913165265,237.46498599439778,-9.873949579831933
83.675,IMU0,-4.378095703125,6.3228515625,-1.39869140625,-17.22689075630252,241.38655462184875,-9.73389355742297
83.685,IMU0,-4.378095703125,6.485712890625001,-1.36037109375,-14.915966386554622,245.30812324929974,-9.103641456582633
83.695,IMU0,-4.684658203125,6.974296875,-0.70892578125,-11.554621848739496,248.52941176470588,-8.053221288515406
83.705,IMU0,-4.799619140625,7.3191796875,0.086220703125,-7.983193277310924,250.77030812324932,-6.862745098039216
83.715,IMU0,-5.431904296875,7.9323046875,-1.4849121093750002,-4.341736694677872,253.1512605042017,-5.112044817927171
83.725,IMU0,-5.594765625,8.574169921875,-1.465751953125,-1.050420168067227,256.7226890756303,-2.801120448179272
83.735,IMU0,-5.834267578125,9.378896484375,-1.70525390625,1.7507002801120448,261.1344537815126,0.1400560224089636
83.745,IMU0,-5.786367187500001,9.972861328125001,-1.753154296875,4.131652661064426,266.03641456582636,3.431372549019608
83.755,IMU0,-5.987548828125,10.36564453125,-1.2933105468750001,6.652661064425771,271.00840336134456,7.072829131652662
83.765,IMU0,-5.8917480468750005,10.442285156250001,-1.4561718750000001,8.473389355742297,276.6106442577031,10.644257703081234
83.775,IMU0,-5.604345703125,9.90580078125,-1.580712890625,9.663865546218489,282.3529411764706,14.215686274509805
83.785,IMU0,-5.508544921875,9.733359375000001,-1.47533203125,9.663865546218489,288.02521008403363,17.086834733893557
83.795,IMU0,-5.03912109375,9.896220703125001,-2.2513183593750004,8.753501400560225,294.04761904761904,19.11764705882353
83.805,IMU0,-4.991220703125,9.963281250000001,-2.4141796875000003,7.282913165266106,300.28011204481794,20.65826330532213
83.815,IMU0,-5.1732421875000005,10.068662109375001,-2.4333398437500002,5.882352941176471,306.3025210084034,22.198879551820728
83.825,IMU0,-5.393583984375001,10.183623046875,-2.615361328125,4.551820728291316,312.46498599439775,24.089635854341736
83.835,IMU0,-5.0966015625,10.346484375000001,-3.113525390625,3.2212885154061626,319.04761904761904,26.610644257703083
83.845,IMU0,-5.010380859375,10.662626953125,-3.16142578125,0.42016806722689076,332.4229691876751,33.61344537815126
