ts,latitude,longitude,satellites
47.06,39.384803771972656,-8.284598350524902,12
47.26,39.384830474853516,-8.284563064575195,12
47.46,39.38485336303711,-8.284527778625488,12
47.86,39.38490676879883,-8.284456253051758,12
48.06,39.38493347167969,-8.284419059753418,12
48.26,39.38496017456055,-8.284378051757812,12
48.36,39.38496017456055,-8.284378051757812,12
48.46,39.384986877441406,-8.284343719482422,12
48.66,39.384986877441406,-8.284343719482422,12
48.86,39.385047912597656,-8.284274101257324,12
49.06,39.38507843017578,-8.284239768981934,12
49.26,39.385108947753906,-8.284208297729492,12
49.46,39.38513946533203,-8.2841796875,12
49.86,39.385189056396484,-8.284126281738281,12
50.06,39.38521194458008,-8.284106254577637,12
50.26,39.385231018066406,-8.284083366394043,12
50.36,39.385231018066406,-8.284083366394043,12
50.46,39.385250091552734,-8.2840576171875,12
50.86,39.385284423828125,-8.284010887145996,12
51.06,39.38529968261719,-8.2839937210083,12
51.26,39.38531494140625,-8.28397274017334,12
51.46,39.38533401489258,-8.283949851989746,12
51.86,39.3853645324707,-8.283903121948242,12
52.06,39.385379791259766,-8.283883094787598,12
52.26,39.38539505004883,-8.283862113952637,12
52.36,39.38539505004883,-8.283862113952637,12
52.46,39.38541030883789,-8.28384017944336,12
52.86,39.38544464111328,-8.28380298614502,12
53.06,39.38544464111328,-8.28380298614502,12
53.16,39.38546371459961,-8.283783912658691,12
53.26,39.38547897338867,-8.283763885498047,12
53.46,39.385498046875,-8.283744812011719,12
53.86,39.38554000854492,-8.283713340759277,12
54.06,39.38554000854492,-8.283713340759277,12
54.16,39.385562896728516,-8.283695220947266,12
54.26,39.38558578491211,-8.28367805480957,12
54.36,39.38558578491211,-8.28367805480957,12
54.46,39.3856086730957,-8.283659934997559,12
54.86,39.38566207885742,-8.283615112304688,12
55.06,39.385684967041016,-8.283584594726562,12
55.26,39.385704040527344,-8.283553123474121,12
55.46,39.38572311401367,-8.28351879119873,12
55.96,39.3857536315918,-8.283449172973633,12
56.06,39.3857536315918,-8.283449172973633,12
56.16,39.385765075683594,-8.283417701721191,12
56.26,39.385765075683594,-8.283417701721191,12
56.36,39.385765075683594,-8.283400535583496,12
56.46,39.385772705078125,-8.283385276794434,12
56.86,39.385799407958984,-8.283367156982422,12
57.16,39.38581848144531,-8.28335952758789,12
57.26,39.38584518432617,-8.283349990844727,12
57.46,39.385868072509766,-8.283341407775879,12
57.86,39.38593673706055,-8.283321380615234,12
58.06,39.38597106933594,-8.283309936523438,12
58.26,39.38597106933594,-8.283309936523438,12
58.36,39.3859977722168,-8.28329086303711,12
58.56,39.38602828979492,-8.283272743225098,12
58.96,39.386085510253906,-8.283236503601074,12
59.06,39.38610076904297,-8.28321647644043,12
59.26,39.3861198425293,-8.283202171325684,12
59.46,39.38613510131836,-8.283188819885254,12
59.86,39.38615036010742,-8.283175468444824,12
59.96,39.386165618896484,-8.283163070678711,12
60.06,39.38618087768555,-8.283154487609863,12
60.26,39.386199951171875,-8.2831449508667,12
60.36,39.386199951171875,-8.2831449508667,12
60.46,39.38622283935547,-8.283130645751953,12
60.86,39.38627243041992,-8.283097267150879,12
61.06,39.38629150390625,-8.28307819366455,12
61.26,39.38630676269531,-8.283060073852539,12
61.46,39.38632583618164,-8.283041954040527,12
61.86,39.386348724365234,-8.283003807067871,12
62.06,39.38636016845703,-8.282986640930176,12
62.26,39.38637161254883,-8.28296947479248,12
62.36,39.38637161254883,-8.28296947479248,12
62.46,39.38638687133789,-8.282951354980469,12
62.66,39.38638687133789,-8.282951354980469,12
62.86,39.386409759521484,-8.282910346984863,12
63.06,39.386417388916016,-8.282891273498535,12
63.26,39.38642501831055,-8.282870292663574,12
63.46,39.386436462402344,-8.282849311828613,12
63.86,39.386444091796875,-8.282828330993652,12
63.96,39.38645935058594,-8.282805442810059,12
64.06,39.386470794677734,-8.28278636932373,12
64.36,39.38648986816406,-8.282764434814453,12
64.56,39.38650894165039,-8.282743453979492,12
64.86,39.38654708862305,-8.282700538635254,12
65.06,39.38656997680664,-8.282679557800293,12
65.36,39.3865852355957,-8.2826566696167,12
65.46,39.38660430908203,-8.282634735107422,12
65.86,39.386627197265625,-8.282590866088867,12
66.06,39.38664245605469,-8.282571792602539,12
66.26,39.386653900146484,-8.282556533813477,12
66.36,39.386653900146484,-8.282556533813477,12
66.56,39.38667297363281,-8.282544136047363,12
66.86,39.3867073059082,-8.28253173828125,12
67.06,39.3867073059082,-8.28253173828125,12
67.16,39.38673400878906,-8.282526969909668,12
67.26,39.38676452636719,-8.282524108886719,12
67.46,39.38679885864258,-8.282520294189453,12
67.86,39.38685989379883,-8.282505989074707,12
68.06,39.38689041137695,-8.282498359680176,12
68.36,39.38690948486328,-8.282485008239746,12
68.56,39.386932373046875,-8.282468795776367,12
68.66,39.386932373046875,-8.282468795776367,12
68.86,39.386966705322266,-8.28243637084961,12
69.06,39.38698196411133,-8.282415390014648,12
69.26,39.38699722290039,-8.282391548156738,12
69.46,39.38701248168945,-8.282367706298828,12
69.86,39.38703918457031,-8.282320976257324,12
70.06,39.387054443359375,-8.28230094909668,12
70.26,39.38706970214844,-8.282282829284668,12
70.36,39.38706970214844,-8.282282829284668,12
70.46,39.387088775634766,-8.282278060913086,12
70.66,39.387088775634766,-8.282278060913086,12
70.86,39.38713455200195,-8.282269477844238,12
71.06,39.38716125488281,-8.282264709472656,12
71.26,39.38716125488281,-8.282264709472656,12
71.36,39.38718795776367,-8.28226375579834,12
71.46,39.3872184753418,-8.282267570495605,12
71.86,39.38727951049805,-8.282270431518555,12
72.06,39.387306213378906,-8.282272338867188,12
72.26,39.387306213378906,-8.282272338867188,12
72.36,39.387332916259766,-8.282270431518555,12
72.46,39.387359619140625,-8.282268524169922,12
72.86,39.387393951416016,-8.28226375579834,12
73.06,39.38740539550781,-8.282254219055176,12
73.26,39.38741683959961,-8.282243728637695,12
73.46,39.387428283691406,-8.282233238220215,12
73.96,39.387451171875,-8.28222370147705,12
74.06,39.38746643066406,-8.282218933105469,12
74.26,39.38748550415039,-8.282210350036621,12
74.36,39.38748550415039,-8.282210350036621,12
74.46,39.38750457763672,-8.28220272064209,12
74.66,39.38750457763672,-8.28220272064209,12
74.86,39.38753890991211,-8.28219223022461,12
75.06,39.38755798339844,-8.28219223022461,12
75.26,39.387577056884766,-8.282195091247559,12
75.46,39.38759231567383,-8.282197952270508,12
75.86,39.38762664794922,-8.282205581665039,12
76.06,39.38764572143555,-8.282209396362305,12
76.26,39.387664794921875,-8.28221321105957,12
76.36,39.387664794921875,-8.28221321105957,12
76.46,39.38768768310547,-8.282212257385254,12
76.86,39.38772964477539,-8.282205581665039,12
77.06,39.38774871826172,-8.282196044921875,12
77.26,39.38776779174805,-8.282186508178711,12
77.46,39.38778305053711,-8.282174110412598,12
77.86,39.38780975341797,-8.282154083251953,12
78.06,39.387821197509766,-8.282148361206055,12
78.26,39.38783264160156,-8.282144546508789,12
78.36,39.38783264160156,-8.282144546508789,12
78.46,39.38785171508789,-8.282146453857422,12
78.66,39.38785171508789,-8.282146453857422,12
78.86,39.38788986206055,-8.282140731811523,12
79.06,39.38791275024414,-8.282136917114258,12
79.26,39.387935638427734,-8.28213119506836,12
79.46,39.387962341308594,-8.282124519348145,12
79.86,39.38800811767578,-8.282102584838867,12
80.06,39.388031005859375,-8.282092094421387,12
80.26,39.3880500793457,-8.28208065032959,12
80.36,39.3880500793457,-8.28208065032959,12
80.46,39.388065338134766,-8.282068252563477,12
80.86,39.38810348510742,-8.282052993774414,12
81.06,39.38812255859375,-8.282045364379883,12
81.26,39.38813781738281,-8.282037734985352,12
81.46,39.38815689086914,-8.282031059265137,12
81.86,39.3881950378418,-8.282020568847656,12
82.06,39.38821792602539,-8.282007217407227,12
82.26,39.38823699951172,-8.281994819641113,12
82.36,39.38823699951172,-8.281994819641113,12
82.46,39.38825225830078,-8.28197956085205,12
82.66,39.38825225830078,-8.28197956085205,12
82.86,39.3882942199707,-8.281944274902344,12
83.06,39.388309478759766,-8.281929969787598,12
83.26,39.38832473754883,-8.281915664672852,12
83.56,39.388343811035156,-8.281905174255371,12
83.86,39.38835906982422,-8.281899452209473,12
83.96,39.38837432861328,-8.28189468383789,12
84.06,39.38839340209961,-8.281890869140625,12
84.26,39.38841247558594,-8.281888961791992,12
84.36,39.38841247558594,-8.281888961791992,12
84.46,39.388431549072266,-8.28188705444336,12
84.66,39.388431549072266,-8.28188705444336,12
84.86,39.38847351074219,-8.28188419342041,12
85.06,39.38849639892578,-8.281883239746094,12
85.26,39.38852310180664,-8.281883239746094,12
85.46,39.3885498046875,-8.281883239746094,12
85.86,39.38859939575195,-8.281882286071777,12
86.06,39.38862609863281,-8.281879425048828,12
86.26,39.38865280151367,-8.281876564025879,12
86.46,39.3886833190918,-8.281872749328613,12
86.66,39.3886833190918,-8.281872749328613,12
86.86,39.38874435424805,-8.281852722167969,12
87.06,39.388771057128906,-8.281840324401855,12
87.26,39.388797760009766,-8.281827926635742,12
87.56,39.38882064819336,-8.28181266784668,12
87.86,39.38882064819336,-8.28181266784668,12
88.06,39.38887405395508,-8.281782150268555,0
88.26,39.388877868652344,-8.281784057617188,0
88.46,39.38888168334961,-8.281786918640137,0
88.66,39.38888168334961,-8.281786918640137,0
88.86,39.388893127441406,-8.281794548034668,0
89.06,39.38890075683594,-8.281801223754883,0
89.26,39.388912200927734,-8.281806945800781,0
89.46,39.38892364501953,-8.28181266784668,0
89.86,39.388946533203125,-8.281828880310059,0
90.06,39.38896179199219,-8.281831741333008,0
90.26,39.388973236083984,-8.281831741333008,0
90.46,39.38899230957031,-8.281830787658691,0
90.86,39.38902282714844,-8.281832695007324,0
91.16,39.3890380859375,-8.28183650970459,0
91.26,39.38905715942383,-8.281837463378906,0
91.46,39.38907241821289,-8.281838417053223,0
91.86,39.38910675048828,-8.281843185424805,0
92.06,39.389122009277344,-8.281846046447754,0
92.36,39.38914108276367,-8.281848907470703,0
92.46,39.38916015625,-8.281850814819336,0
92.66,39.38916015625,-8.281850814819336,0
92.86,39.38920974731445,-8.281852722167969,0
93.06,39.38922882080078,-8.281846046447754,0
93.26,39.389251708984375,-8.28183650970459,0
93.46,39.38926696777344,-8.281822204589844,0
93.86,39.38928985595703,-8.281795501708984,0
94.06,39.38928985595703,-8.281785011291504,0
94.26,39.38928985595703,-8.281781196594238,0
94.46,39.38928985595703,-8.281782150268555,0
94.86,39.38928985595703,-8.281793594360352,0
95.06,39.3892936706543,-8.281803131103516,0
95.26,39.38930130004883,-8.281808853149414,0
95.46,39.38931655883789,-8.281814575195312,0
95.86,39.38935470581055,-8.28180980682373,0
96.06,39.38937759399414,-8.281798362731934,0
96.26,39.389400482177734,-8.281784057617188,0
96.46,39.389427185058594,-8.281767845153809,0
96.86,39.38948059082031,-8.281729698181152,0
97.06,39.38949966430664,-8.281712532043457,0
97.26,39.389522552490234,-8.281694412231445,0
97.46,39.3895378112793,-8.28167724609375,0
97.86,39.389556884765625,-8.28165340423584,0
98.06,39.38956069946289,-8.281644821166992,0
98.26,39.38956832885742,-8.281637191772461,0
98.46,39.38957595825195,-8.281630516052246,0
98.66,39.38957595825195,-8.281630516052246,0
98.86,39.38958740234375,-8.281615257263184,0
99.06,39.38958740234375,-8.28160285949707,0
99.26,39.38958740234375,-8.281591415405273,0
99.46,39.389591217041016,-8.28157901763916,0
99.86,39.38960266113281,-8.2815580368042,0
100.06,39.389610290527344,-8.281547546386719,0
100.26,39.389617919921875,-8.281536102294922,0
100.46,39.389625549316406,-8.281526565551758,0
100.66,39.3896369934082,-8.281515121459961,0
100.86,39.389644622802734,-8.281506538391113,0
101.06,39.389652252197266,-8.281493186950684,0
101.26,39.38966369628906,-8.281477928161621,0
101.46,39.389671325683594,-8.281461715698242,0
101.86,39.38969039916992,-8.281427383422852,0
102.06,39.38969802856445,-8.281408309936523,0
102.26,39.389705657958984,-8.281388282775879,0
102.46,39.38971710205078,-8.281364440917969,0
102.66,39.38971710205078,-8.281364440917969,0
102.86,39.38974380493164,-8.281318664550781,0
103.06,39.3897590637207,-8.281293869018555,0
103.26,39.38977813720703,-8.281269073486328,0
103.46,39.38979721069336,-8.28124713897705,0
103.86,39.38983917236328,-8.281218528747559,0
104.06,39.38985824584961,-8.28121280670166,0
104.26,39.38987350463867,-8.281208992004395,0
104.46,39.38988494873047,-8.281205177307129,0
104.66,39.38988494873047,-8.281205177307129,0
104.86,39.389896392822266,-8.28119945526123,0
105.06,39.389896392822266,-8.281198501586914,0
105.26,39.389896392822266,-8.281195640563965,0
105.46,39.389896392822266,-8.2811918258667,0
105.86,39.389896392822266,-8.281188011169434,0
105.96,39.38990020751953,-8.281184196472168,0
106.06,39.38990783691406,-8.28117561340332,0
106.26,39.38991928100586,-8.281172752380371,0
106.46,39.38993835449219,-8.281167030334473,0
106.66,39.38993835449219,-8.281167030334473,0
106.86,39.38997268676758,-8.281140327453613,0
107.06,39.389991760253906,-8.281126022338867,0
107.26,39.3900146484375,-8.281106948852539,0
107.46,39.390037536621094,-8.281083106994629,0
107.86,39.390079498291016,-8.28103256225586,0
108.06,39.39010238647461,-8.281004905700684,0
108.26,39.39011764526367,-8.280977249145508,0
108.46,39.39012908935547,-8.280951499938965,0
108.86,39.39015197753906,-8.280923843383789,0
109.06,39.39016342163086,-8.28091049194336,0
109.26,39.390174865722656,-8.280899047851562,0
109.46,39.39018630981445,-8.28088665008545,0
109.86,39.39020538330078,-8.280869483947754,0
110.06,39.390220642089844,-8.280861854553223,0
110.26,39.39023208618164,-8.280851364135742,0
