ts,filteredAltitudeAGL,filteredAcceleration
19.8,2994.114990234375,-10.12460708618164
19.81,2994.114990234375,-10.12460708618164
19.82,2995.489013671875,-10.12460708618164
19.83,2996.17333984375,-10.12460708618164
19.84,2997.201416015625,-10.12460708618164
19.85,2997.317626953125,-10.12460708618164
19.86,2997.43115234375,-10.12460708618164
19.87,2997.660888671875,-10.115073204040527
19.88,3000.97705078125,-10.12460708618164
19.89,3001.20703125,-10.115073204040527
19.9,3001.20703125,-10.115073204040527
19.91,3001.20703125,-10.115073204040527
19.92,3001.77783203125,-10.115073204040527
19.93,3002.12109375,-10.115073204040527
19.94,3002.12109375,-10.115073204040527
19.95,3002.69189453125,-10.115073204040527
19.96,3002.921875,-10.115073204040527
19.97,3003.379150390625,-10.105539321899414
19.98,3003.838623046875,-10.105539321899414
19.99,3005.212890625,-10.105539321899414
20,3007.041259765625,-10.105539321899414
20.01,3008.18798828125,-10.105539321899414
20.02,3008.18798828125,-10.105539321899414
20.03,3008.4150390625,-10.096006393432617
20.04,3008.4150390625,-10.086472511291504
20.05,3008.4150390625,-10.086472511291504
20.06,3008.4150390625,-10.076939582824707
20.07,3008.4150390625,-10.076939582824707
20.08,3008.531494140625,-10.076939582824707
20.09,3009.445556640625,-10.076939582824707
20.1,3010.2490234375,-10.076939582824707
20.11,3010.362548828125,-10.076939582824707
20.12,3011.966552734375,-10.076939582824707
20.13,3013.110595703125,-10.076939582824707
20.14,3013.110595703125,-10.086472511291504
20.15,3013.913818359375,-10.086472511291504
20.16,3014.714599609375,-10.086472511291504
20.17,3014.9443359375,-10.086472511291504
20.18,3015.2880859375,-10.086472511291504
20.19,3015.517822265625,-10.086472511291504
20.2,3015.63134765625,-10.086472511291504
20.21,3016.775390625,-10.076939582824707
20.22,3017.00537109375,-10.076939582824707
20.23,3017.3515625,-10.076939582824707
20.24,3018.265869140625,-10.076939582824707
20.25,3018.839111328125,-10.076939582824707
20.26,3019.182861328125,-10.05787181854248
20.27,3019.299072265625,-10.05787181854248
20.28,3019.41259765625,-10.076939582824707
20.29,3019.41259765625,-10.076939582824707
20.3,3021.476318359375,-10.076939582824707
20.31,3024.34326171875,-10.076939582824707
20.32,3024.456787109375,-10.076939582824707
20.33,3024.91650390625,-10.076939582824707
20.34,3025.489990234375,-10.067405700683594
20.35,3025.7197265625,-10.067405700683594
20.36,3025.7197265625,-10.067405700683594
20.37,3025.7197265625,-10.05787181854248
20.38,3027.899658203125,-10.05787181854248
20.39,3027.899658203125,-10.05787181854248
20.4,3028.2431640625,-10.05787181854248
20.41,3028.2431640625,-10.067405700683594
20.42,3028.2431640625,-10.067405700683594
20.43,3028.2431640625,-10.067405700683594
20.44,3029.96337890625,-10.067405700683594
20.45,3030.536865234375,-10.067405700683594
20.46,3030.536865234375,-10.067405700683594
20.47,3030.536865234375,-10.067405700683594
20.48,3030.7666015625,-10.067405700683594
20.49,3031.68359375,-10.067405700683594
20.5,3031.68359375,-10.067405700683594
20.51,3031.68359375,-10.067405700683594
20.52,3034.552978515625,-10.067405700683594
20.53,3034.552978515625,-10.067405700683594
20.54,3034.552978515625,-10.067405700683594
20.55,3034.782958984375,-10.067405700683594
20.56,3035.012939453125,-10.067405700683594
20.57,3035.012939453125,-10.067405700683594
20.58,3036.6220703125,-10.067405700683594
20.59,3038.688232421875,-10.05787181854248
20.6,3038.688232421875,-10.05787181854248
20.61,3038.8017578125,-10.05787181854248
20.62,3038.8017578125,-10.05787181854248
20.63,3038.918212890625,-10.05787181854248
20.64,3040.754638671875,-10.048338890075684
20.65,3040.754638671875,-10.048338890075684
20.66,3041.33056640625,-10.05787181854248
20.67,3041.79052734375,-10.05787181854248
20.68,3041.79052734375,-10.05787181854248
20.69,3042.36376953125,-10.048338890075684
20.7,3042.937255859375,-10.05787181854248
20.71,3044.202880859375,-10.048338890075684
20.72,3043.283203125,-10.048338890075684
20.73,3044.776123046875,-10.048338890075684
20.74,3045.005859375,-10.03880500793457
20.75,3045.352294921875,-10.03880500793457
20.76,3045.925537109375,-10.029271125793457
20.77,3046.501708984375,-10.029271125793457
20.78,3047.191162109375,-10.03880500793457
20.79,3047.880859375,-10.029271125793457
20.8,3049.14404296875,-10.029271125793457
20.81,3049.373779296875,-10.029271125793457
20.82,3049.373779296875,-10.029271125793457
20.83,3049.373779296875,-10.01973819732666
20.84,3049.373779296875,-10.010204315185547
20.85,3049.373779296875,-10.010204315185547
20.86,3049.603759765625,-10.010204315185547
20.87,3050.755859375,-10.010204315185547
20.88,3051.21533203125,-10.010204315185547
20.89,3051.21533203125,-10.00067138671875
20.9,3052.478759765625,-10.00067138671875
20.91,3053.0546875,-10.00067138671875
20.92,3053.284423828125,-10.00067138671875
20.93,3053.630615234375,-10.00067138671875
20.94,3053.744140625,-10.00067138671875
20.95,3053.97412109375,-9.991137504577637
20.96,3054.66650390625,-9.991137504577637
20.97,3055.123291015625,-9.991137504577637
20.98,3055.123291015625,-9.991137504577637
20.99,3055.4697265625,-9.991137504577637
21,3056.62158203125,-9.991137504577637
21.01,3057.08154296875,-10.00067138671875
21.02,3057.657470703125,-10.00067138671875
21.03,3058.460693359375,-10.00067138671875
21.04,3058.693359375,-10.00067138671875
21.05,3058.923095703125,-9.991137504577637
21.06,3059.61279296875,-10.00067138671875
21.07,3059.8427734375,-10.010204315185547
21.08,3059.958984375,-10.010204315185547
21.09,3060.878662109375,-10.010204315185547
21.1,3062.490234375,-10.010204315185547
21.11,3062.72021484375,-10.00067138671875
21.12,3062.72021484375,-10.00067138671875
21.13,3064.10205078125,-10.00067138671875
21.14,3064.677978515625,-10.00067138671875
21.15,3064.677978515625,-10.00067138671875
21.16,3064.677978515625,-10.00067138671875
21.17,3065.137939453125,-9.991137504577637
21.18,3066.63623046875,-9.972070693969727
21.19,3067.55810546875,-9.972070693969727
21.2,3068.13427734375,-9.962536811828613
21.21,3068.248046875,-9.962536811828613
21.22,3068.13427734375,-9.962536811828613
21.23,3068.710205078125,-9.9530029296875
21.24,3068.823974609375,-9.9530029296875
21.25,3068.940185546875,-9.962536811828613
21.26,3068.940185546875,-9.9530029296875
21.27,3070.09228515625,-9.9530029296875
21.28,3070.438232421875,-9.972070693969727
21.29,3070.784423828125,-9.972070693969727
21.3,3071.590576171875,-9.972070693969727
21.31,3071.590576171875,-9.972070693969727
21.32,3072.856201171875,-9.972070693969727
21.33,3072.972412109375,-9.972070693969727
21.34,3073.89453125,-9.962536811828613
21.35,3074.0107421875,-9.962536811828613
21.36,3074.470703125,-9.962536811828613
21.37,3075.04931640625,-9.9530029296875
21.38,3075.04931640625,-9.943470001220703
21.39,3075.625244140625,-9.943470001220703
21.4,3075.625244140625,-9.943470001220703
21.41,3075.739013671875,-9.943470001220703
21.42,3076.43115234375,-9.943470001220703
21.43,3077.353515625,-9.943470001220703
21.44,3077.353515625,-9.943470001220703
21.45,3076.43115234375,-9.943470001220703
21.46,3076.43115234375,-9.93393611907959
21.47,3077.81591796875,-9.93393611907959
21.48,3077.81591796875,-9.93393611907959
21.49,3078.391845703125,-9.93393611907959
21.5,3078.508056640625,-9.93393611907959
21.51,3079.31396484375,-9.943470001220703
21.52,3079.5439453125,-9.943470001220703
21.53,3080.12255859375,-9.943470001220703
21.54,3080.12255859375,-9.943470001220703
21.55,3081.390869140625,-9.943470001220703
21.56,3080.698486328125,-9.93393611907959
21.57,3081.390869140625,-9.93393611907959
21.58,3082.54296875,-9.93393611907959
21.59,3082.54296875,-9.924403190612793
21.6,3083.813720703125,-9.924403190612793
21.61,3084.043701171875,-9.924403190612793
21.62,3085.198486328125,-9.924403190612793
21.63,3085.7744140625,-9.924403190612793
21.64,3085.890625,-9.924403190612793
21.65,3086.004150390625,-9.924403190612793
21.66,3086.004150390625,-9.924403190612793
21.67,3086.120361328125,-9.91486930847168
21.68,3086.120361328125,-9.91486930847168
21.69,3087.04541015625,-9.91486930847168
21.7,3087.737548828125,-9.905335426330566
21.71,3087.737548828125,-9.905335426330566
21.72,3088.429931640625,-9.905335426330566
21.73,3088.659912109375,-9.89580249786377
21.74,3088.659912109375,-9.89580249786377
21.75,3088.659912109375,-9.89580249786377
21.76,3088.54638671875,-9.89580249786377
21.77,3088.659912109375,-9.89580249786377
21.78,3088.659912109375,-9.89580249786377
21.79,3090.160400390625,-9.89580249786377
21.8,3091.431640625,-9.89580249786377
21.81,3091.661376953125,-9.89580249786377
21.82,3092.70263671875,-9.89580249786377
21.83,3092.70263671875,-9.89580249786377
21.84,3092.70263671875,-9.89580249786377
21.85,3092.70263671875,-9.89580249786377
21.86,3092.70263671875,-9.89580249786377
21.87,3093.278564453125,-9.886268615722656
21.88,3093.278564453125,-9.886268615722656
21.89,3093.278564453125,-9.886268615722656
21.9,3094.0869140625,-9.886268615722656
21.91,3094.895751953125,-9.886268615722656
21.92,3094.0869140625,-9.886268615722656
21.93,3094.895751953125,-9.886268615722656
21.94,3096.16650390625,-9.886268615722656
21.95,3096.3994140625,-9.886268615722656
21.96,3096.85888671875,-9.886268615722656
21.97,3098.24609375,-9.886268615722656
21.98,3099.9794921875,-9.886268615722656
21.99,3099.9794921875,-9.876734733581543
22,3099.9794921875,-9.886268615722656
22.01,3099.9794921875,-9.886268615722656
22.02,3100.2119140625,-9.876734733581543
22.03,3100.2119140625,-9.876734733581543
22.04,3100.095703125,-9.876734733581543
22.05,3100.2119140625,-9.867201805114746
22.06,3100.2119140625,-9.867201805114746
22.07,3100.2119140625,-9.867201805114746
22.08,3101.715576171875,-9.867201805114746
22.09,3101.8291015625,-9.867201805114746
22.1,3102.986328125,-9.867201805114746
22.11,3102.986328125,-9.857667922973633
22.12,3103.332763671875,-9.848134994506836
22.13,3103.332763671875,-9.857667922973633
22.14,3103.332763671875,-9.857667922973633
22.15,3103.332763671875,-9.867201805114746
22.16,3103.332763671875,-9.886268615722656
22.17,3104.25732421875,-9.886268615722656
22.18,3104.25732421875,-9.867201805114746
22.19,3105.29833984375,-9.867201805114746
22.2,3105.29833984375,-9.867201805114746
22.21,3105.644775390625,-9.867201805114746
22.22,3107.843017578125,-9.867201805114746
22.23,3108.07275390625,-9.857667922973633
22.24,3107.843017578125,-9.857667922973633
22.25,3107.843017578125,-9.857667922973633
22.26,3108.3056640625,-9.857667922973633
22.27,3108.3056640625,-9.857667922973633
22.28,3108.3056640625,-9.848134994506836
22.29,3108.3056640625,-9.848134994506836
22.3,3108.654052734375,-9.848134994506836
22.31,3109.692626953125,-9.848134994506836
22.32,3110.733642578125,-9.848134994506836
22.33,3110.966064453125,-9.848134994506836
22.34,3111.082763671875,-9.82906723022461
22.35,3111.198974609375,-9.82906723022461
22.36,3112.239990234375,-9.82906723022461
22.37,3112.356201171875,-9.848134994506836
22.38,3112.4697265625,-9.848134994506836
22.39,3112.4697265625,-9.838601112365723
22.4,3112.818603515625,-9.838601112365723
22.41,3113.397216796875,-9.838601112365723
22.42,3113.513427734375,-9.838601112365723
22.43,3114.5546875,-9.838601112365723
22.44,3115.13330078125,-9.838601112365723
22.45,3115.13330078125,-9.838601112365723
22.46,3115.36572265625,-9.838601112365723
22.47,3115.36572265625,-9.838601112365723
22.48,3115.36572265625,-9.838601112365723
22.49,3115.595703125,-9.838601112365723
22.5,3116.9853515625,-9.838601112365723
22.51,3116.9853515625,-9.838601112365723
22.52,3117.331787109375,-9.838601112365723
22.53,3117.447998046875,-9.838601112365723
22.54,3117.447998046875,-9.838601112365723
22.55,3117.9130859375,-9.848134994506836
22.56,3117.9130859375,-9.838601112365723
