ts,height,velocity,acceleration
102.36,1308.767578125,-19.80859375,0
102.37,1308.566162109375,-19.812028884887695,0
102.38,1308.3807373046875,-19.798919677734375,0
102.39,1308.1873779296875,-19.794153213500977,0
102.4,1308.009765625,-19.773012161254883,0
102.41,1307.845947265625,-19.73785400390625,0
102.42,1307.6859130859375,-19.699228286743164,0
102.43,1307.5076904296875,-19.679744720458984,0
102.44,1307.3333740234375,-19.65648651123047,0
102.45,1307.162841796875,-19.629535675048828,0
102.46,1306.9625244140625,-19.63372230529785,0
102.47,1306.75244140625,-19.647953033447266,0
102.48,1306.54248046875,-19.66180992126465,0
102.49,1306.3367919921875,-19.67121124267578,0
102.5,1306.1234130859375,-19.68846893310547,0
102.51,1305.908203125,-19.707359313964844,0
102.52,1305.667724609375,-19.752344131469727,0
102.53,1305.404052734375,-19.820796966552734,0
102.54,1305.13525390625,-19.893844604492188,0
102.55,1304.8653564453125,-19.967283248901367,0
102.56,1304.58837890625,-20.047256469726562,0
102.57,1304.2789306640625,-20.16012191772461,0
102.58,1303.974609375,-20.266399383544922,0
102.59,1303.675537109375,-20.366199493408203,0
102.6,1303.3817138671875,-20.459636688232422,0
102.61,1303.0928955078125,-20.54681968688965,0
102.62,1302.8209228515625,-20.61564064025879,0
102.63,1302.561767578125,-20.67049217224121,0
102.64,1302.299560546875,-20.7280216217041,0
102.65,1302.0421142578125,-20.77997589111328,0
102.66,1301.7894287109375,-20.826459884643555,0
102.67,1301.5316162109375,-20.87777328491211,0
102.68,1301.2470703125,-20.956283569335938,0
102.69,1300.967529296875,-21.02873992919922,0
102.7,1300.6929931640625,-21.095251083374023,0
102.71,1300.41552734375,-21.164052963256836,0
102.72,1300.14306640625,-21.22695541381836,0
102.73,1299.8756103515625,-21.28406524658203,0
102.74,1299.613037109375,-21.33548927307129,0
102.75,1299.3671875,-21.369115829467773,0
102.76,1299.1280517578125,-21.395444869995117,0
102.77,1298.917236328125,-21.3922061920166,0
102.78,1298.6871337890625,-21.40898895263672,0
102.79,1298.4615478515625,-21.420886993408203,0
102.8,1298.242431640625,-21.42597770690918,0
102.81,1298.02587890625,-21.42844009399414,0
102.82,1297.815673828125,-21.42428970336914,0
102.83,1297.6097412109375,-21.415679931640625,0
102.84,1297.433837890625,-21.376142501831055,0
102.85,1297.2618408203125,-21.332881927490234,0
102.86,1297.09375,-21.285982131958008,0
102.87,1296.9591064453125,-21.204925537109375,0
102.88,1296.8419189453125,-21.106739044189453,0
102.89,1296.7301025390625,-21.004013061523438,0
102.9,1296.6412353515625,-20.878538131713867,0
